Buy Date,Buy Price,Sell Date,Sell Price,Profit/Loss (%)
2022-06-06,0.3414,2024-11-18,1.434,320.03514938488576
2022-06-13,0.3244,2024-11-18,1.434,342.0468557336621
2022-06-27,0.3196,2024-11-18,1.434,348.685857321652
