Buy Date,Buy Price,Sell Date,Sell Price,Profit/Loss (%)
2018-11-19,161.2625,2020-08-10,433.855,169.03650879776762
2018-11-26,161.545,2020-08-10,433.855,168.5660342319478
2018-12-03,145.005,2020-08-10,433.855,199.2000275852557
2018-12-10,138.275,2020-08-10,433.855,213.76242994033632
2022-06-06,1433.28,2024-02-26,3490.13,143.50650256753744
2022-06-13,1125.28,2024-02-26,3490.13,210.15658325039107
2022-06-20,1197.58,2024-02-26,3490.13,191.43188764007417
2022-06-27,1073.14,2024-02-26,3490.13,225.22597238011812
2022-07-04,1167.16,2024-02-26,3490.13,199.02755406285343
