Buy Date,Buy Price,Sell Date,Sell Price,Profit/Loss (%)
2015-01-12,211.03,2016-06-06,672.0,218.43813675780694
2018-12-10,3192.87,2020-11-16,18442.9925,477.63054869130286
2022-06-13,20552.98,2023-12-04,43801.2,113.11362147970756
2022-06-20,21029.53,2023-12-04,43801.2,108.28425552068923
2022-06-27,19292.67,2023-12-04,43801.2,127.03544921464993
2022-07-04,20843.12,2023-12-04,43801.2,110.14704132586677
2022-07-11,20793.29,2023-12-04,43801.2,110.65064739634755
