time,close,RSI,Signal
2013-11-25,0.0519511,88.86028871053995,Sell
2014-12-15,0.0248857,85.83115179143496,Sell
2014-12-22,0.0237175,81.55077142870498,Sell
2017-03-27,0.0615,95.57975978268512,Sell
2017-05-01,0.13911,85.6306687340765,Sell
2017-05-08,0.21714,90.37948996288164,Sell
2017-05-15,0.324,93.53200509153362,Sell
2017-12-11,0.70969,82.15973003051431,Sell
2017-12-18,1.015,87.38621983605029,Sell
2017-12-25,1.99,93.71675880615456,Sell
2018-01-01,2.75064,95.58032550662482,Sell
2020-11-23,0.60607,85.9541021637721,Sell
2020-11-30,0.62201,86.43375968781018,Sell
2022-06-06,0.3414,28.71700313347685,Buy
2022-06-13,0.3244,28.08417774479888,Buy
2022-06-27,0.3196,29.64588369938028,Buy
2024-11-18,1.434,83.72522312064316,Sell
2024-11-25,2.2997,90.6466891274512,Sell
2024-12-02,2.604,91.94368528269472,Sell
2024-12-09,2.4462,85.33535064696721,Sell
