time,close,RSI,Signal
2017-03-27,0.00051638,90.50091891422392,Sell
2017-04-24,0.00073925,81.53326409959352,Sell
2017-05-01,0.00127766,89.8056948613631,Sell
2017-05-08,0.00126684,88.94340047535202,Sell
2017-05-15,0.00288704,95.66132336497924,Sell
2017-05-22,0.00259646,85.61421494754423,Sell
2017-05-29,0.00320079,88.35378609939077,Sell
2017-06-05,0.00360684,89.76424074169122,Sell
2017-12-11,0.00604104,81.81918016462139,Sell
2017-12-18,0.00877492,87.17161223618366,Sell
2017-12-25,0.00905097,87.56955211667761,Sell
2018-01-01,0.0170595,93.6874337777778,Sell
2020-12-28,0.00963,90.5414203451148,Sell
2021-01-04,0.00992,90.89674063359156,Sell
2021-01-11,0.00909,81.46425896931714,Sell
2021-01-25,0.03707,95.27812305544148,Sell
2021-02-01,0.07831,97.89499619738125,Sell
2021-04-12,0.32358,93.67753939308844,Sell
2021-04-26,0.37351,82.1483969763415,Sell
2021-05-03,0.56958,87.65792110399829,Sell
2021-05-10,0.51413,80.12632252975266,Sell
2022-06-06,0.063516,29.1901946270164,Buy
2022-06-13,0.060361,28.656227405635207,Buy
2024-02-26,0.1536,80.54857566423672,Sell
2024-03-04,0.17027,83.05261957256509,Sell
2024-03-25,0.22011,82.70623593984283,Sell
2024-11-11,0.36708,84.13070718654947,Sell
2024-11-18,0.43063,86.78120355926183,Sell
2024-11-25,0.44068,87.14681157193966,Sell
2024-12-02,0.46673,88.068029360712,Sell
